,Start,Stock,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%]
30,2022-05-06,AKAM,2023-02-17,287 days,5.555555555555555,10021.600059509277,10021.600059509277,0.21600059509277345,-18.947257181946387,0.2749907796068207,0.36944346923223836,0.7443379096084574,2.3807049637500164,1.984065832309557,-0.13859962463378395,-0.10004863652857687,126 days,83 days,6,33.33333333333333,10.399814509858551,-2.614456480830274,0.6704795741759861,1 days,1 days,1.6060301287996248,0.7684956953278959
31,2022-08-04,ALB,2023-02-03,183 days,3.149606299212598,9847.131423950195,10000.0,-1.528685760498047,22.635722262726304,-3.0104762108065453,2.289217374049607,0.0,0.0,0.0,-1.6619361877441396,-1.6619361877441396,113 days,113 days,2,50.0,1.5810917740426644,-7.238282772386373,-2.92870398096039,1 days,1 days,0.2184346513891993,-2.828595499171854
32,2022-03-08,ALGN,2022-12-20,287 days,9.5,10280.29020690918,10280.29020690918,2.802902069091797,-51.62767276062266,3.5444372584308548,2.684385240213631,1.3203906821320395,4.133130533863939,3.169477327251722,-1.1183033959432875,-0.6712761323073468,232 days,118 days,11,54.54545454545454,15.47318207334618,-4.841462555865672,1.8713224707497034,3 days,2 days,2.43176159601952,2.0332428007012795
33,2022-03-18,ALKS,2022-05-03,46 days,15.625,9994.859992980957,10000.0,-0.051400070190429685,11.026030123401508,-0.4040610834151859,0.11517586734458889,0.0,0.0,0.0,-0.05140007019043269,-0.05140007019043269,14 days,14 days,3,33.33333333333333,1.9420614270496572,-3.405903217324835,-1.570238072475283,1 days,1 days,0.2959861115289357,-1.5397549227837461
34,2022-03-08,ALK,2022-12-23,290 days,11.330049261083744,10018.189971923828,10019.710006713867,0.18189971923828124,-7.199479167518101,0.2258560974819357,0.17282255199766638,1.306867042936534,4.670477210955643,2.860945990157481,-0.07894455129839884,-0.07894455129839884,246 days,246 days,12,66.66666666666666,2.8334935384979776,-3.7938067175016243,0.37096480324729786,1 days,1 days,1.64911609771565,0.3885118165790439
35,2022-03-08,ALLY,2023-01-06,304 days,6.6350710900473935,9991.56743812561,10000.0,-0.08432561874389649,-34.981640985112804,-0.10070291260694253,0.10602776513298981,0.0,0.0,0.0,-0.12730522155761648,-0.12730522155761648,254 days,254 days,8,37.5,3.448284516919875,-5.201744132746611,-0.5764627347463747,1 days,1 days,0.6796552430632297,-0.5306565314207284
36,2022-10-20,ALL,2022-10-26,6 days,40.0,10014.18140411377,10014.18140411377,0.1418140411376953,5.57302276265482,7.403613880722348,1.2086456837897415,6.125545294223958,inf,,-0.0,,,,1,100.0,3.98900863450935,3.98900863450935,3.98900863450935,3 days,3 days,,3.98900863450935
37,2022-04-01,ALNY,2022-08-08,129 days,6.8181818181818175,10026.210052490234,10026.210052490234,0.26210052490234376,36.29866775596646,0.7523950714431571,0.27324113385585713,2.7535937244356044,inf,,-0.0,,,,3,100.0,6.79659872689945,1.0312227858622736,4.47215423841385,1 days,1 days,,4.502267699021079
38,2022-04-25,ALTR,2022-08-19,116 days,7.317073170731707,9999.969970703125,10000.0,-0.00030029296875,-2.6311102973090277,-0.0009228486910983769,0.20107427452493498,0.0,0.0,0.0,-0.0912001419067332,-0.0912001419067332,105 days,105 days,3,33.33333333333333,1.763265263717606,-3.8588285350896645,-0.9615708033303028,3 days,2 days,0.38603571187428815,-0.9347856248488884
39,2022-03-04,ALV,2022-08-31,180 days,9.6,10025.037109375,10034.976440429688,0.25037109375,3.369073522675218,0.5053901152153317,0.3408786705637652,1.4826099690528827,2.8087418302211073,4.004066207988149,-0.1262192204032675,-0.1262192204032675,40 days,40 days,6,83.33333333333334,3.9857722550007635,-1.7550155704435744,1.6519501892980237,3 days,2 days,6.706613927283763,1.6691993828155265
